who is the parent of augusta_of_saxe-weimar 's son ?	william_i_german_emperor	augusta_of_saxe-weimar#children#princess_louise_of_prussia#parents#william_i_german_emperor#<end>#william_i_german_emperor
chulalongkorn 's offspring 's son ?	nakkhatra_mangkala_kitiyakara	chulalongkorn#children#kitiyakara_voralaksana#children#nakkhatra_mangkala_kitiyakara#<end>#nakkhatra_mangkala_kitiyakara
who is the heir of charles_lennox_2nd_duke_of_richmond 's mother ?	anne_van_keppel_countess_of_albemarle	charles_lennox_2nd_duke_of_richmond#parents#charles_lennox_1st_duke_of_richmond#children#anne_van_keppel_countess_of_albemarle#<end>#anne_van_keppel_countess_of_albemarle
what is the geza_i_of_hungary 's child 's nationality ?	hungary	geza_i_of_hungary#children#prince_almos#nationality#hungary#<end>#hungary
what is the name of the heir of maria_luisa_of_savoy 's couple ?	mariana_victoria_of_spain	maria_luisa_of_savoy#spouse#philip_v_of_spain#children#mariana_victoria_of_spain#<end>#mariana_victoria_of_spain
the cause of death of carole_lombard 's couple ?	myocardial_infarction	carole_lombard#spouse#clark_gable#cause_of_death#myocardial_infarction#<end>#myocardial_infarction
the work of parents of buster_keaton ?	actor	buster_keaton#parents#joe_keaton#profession#actor#<end>#actor
what sex is postumus_junior 's mother  ?	male	postumus_junior#parents#postumus#gender#male#<end>#male
the place of death of augustus_ii_the_strong 's offspring ?	avignon	augustus_ii_the_strong#children#anna_orzelska#place_of_death#avignon#<end>#avignon
what type of religion is sarah 's couple ?	judaism	sarah#spouse#abraham#religion#judaism#<end>#judaism
which nationality is frederica_of_mecklenburg-strelitz 's couple ?	united_kingdom	frederica_of_mecklenburg-strelitz#spouse#ernest_augustus_i_of_hanover#nationality#united_kingdom#<end>#united_kingdom
what is the frederick_edward_guest 's dad 's gender ?	male	frederick_edward_guest#parents#ivor_churchill_guest_1st_viscount_wimborne#gender#male#<end>#male
the nationality of marie_francois_sadi_carnot 's mother ?	france	marie_francois_sadi_carnot#parents#hippolyte_carnot#nationality#france#<end>#france
who is the children of henry_i_duke_of_guise 's mother ?	charles_of_lorraine_duke_of_mayenne	henry_i_duke_of_guise#parents#anna_deste#children#charles_of_lorraine_duke_of_mayenne#<end>#charles_of_lorraine_duke_of_mayenne
what is the nationality of parents of claudius ?	roman_empire	claudius#parents#nero_claudius_drusus#nationality#roman_empire#<end>#roman_empire
the son of maria_antonia_of_portugal 's father ?	maria_josepha_of_portugal	maria_antonia_of_portugal#parents#adelaide_of_lowenstein_wertheim_rosenberg#children#maria_josepha_of_portugal#<end>#maria_josepha_of_portugal
what is the darling of henry_viii_of_england 's father ?	elizabeth_of_york	henry_viii_of_england#parents#henry_vii_of_england#spouse#elizabeth_of_york#<end>#elizabeth_of_york
what is the louis_of_bourbon_duke_of_orleans 's parent 's daughter ?	duc_dorleans	louis_of_bourbon_duke_of_orleans#parents#francoise_marie_de_bourbon#children#duc_dorleans#<end>#duc_dorleans
which nationality is philip_v_of_spain 's heir ?	portugal	philip_v_of_spain#children#mariana_victoria_of_spain#nationality#portugal#<end>#portugal
louis_philippe_i_duke_of_orleans 's parent 's sex ?	male	louis_philippe_i_duke_of_orleans#parents#louis_of_bourbon_duke_of_orleans#gender#male#<end>#male
what is the edmund_stafford_5th_earl_of_stafford 's child 's nation ?	kingdom_of_england	edmund_stafford_5th_earl_of_stafford#children#thomas_bourchier#nationality#kingdom_of_england#<end>#kingdom_of_england
what is the david_carradine 's parent 's nation ?	united_states	david_carradine#parents#john_carradine#nationality#united_states#<end>#united_states
is carlos_thompson 's spouse a man or a woman ?	female	carlos_thompson#spouse#lilli_palmer#gender#female#<end>#female
the job of son of john_b_kelly_sr ?	fashion_model	john_b_kelly_sr#children#grace_kelly#profession#fashion_model#<end>#fashion_model
the children of ulysses_s_grant_jr 's parents ?	frederick_dent_grant	ulysses_s_grant_jr#parents#julia_grant#children#frederick_dent_grant#<end>#frederick_dent_grant
what is the location of other half of auguste_van_pels ?	lower_saxony	auguste_van_pels#spouse#hermann_van_pels#location#lower_saxony#<end>#lower_saxony
where does ina_claire 's wife come from ?	united_states	ina_claire#spouse#john_gilbert_1899#nationality#united_states#<end>#united_states
what does thomas_thynne_2nd_viscount_weymouth 's kid do for a living?	politician	thomas_thynne_2nd_viscount_weymouth#children#thomas_thynne_1st_marquess_of_bath#profession#politician#<end>#politician
which city did archduke_carl_ludwig_of_austria 's child born ?	graz	archduke_carl_ludwig_of_austria#children#archduke_franz_ferdinand_of_austria#place_of_birth#graz#<end>#graz
what is the gender of kid of alexandre_vicomte_de_beauharnais ?	female	alexandre_vicomte_de_beauharnais#children#hortense_de_beauharnais#gender#female#<end>#female
the gender of mom of mieszko_iv_tanglefoot ?	male	mieszko_iv_tanglefoot#parents#wladyslaw_ii_the_exile#gender#male#<end>#male
the sex of augustus_keppel_1st_viscount_keppel 's mother ?	male	augustus_keppel_1st_viscount_keppel#parents#willem_van_keppel_2nd_earl_of_albemarle#gender#male#<end>#male
the gender of father of mikolaj_vii_radziwill ?	female	mikolaj_vii_radziwill#parents#katarzyna_tomicka#gender#female#<end>#female
please tell me augusta_viktoria_of_schleswig-holstein 's children present address ?	potsdam	augusta_viktoria_of_schleswig-holstein#children#prince_august_wilhelm_of_prussia#location#potsdam#<end>#potsdam
the sex of mother of postumus_junior ?	male	postumus_junior#parents#postumus#gender#male#<end>#male
who is the couple of alice_spencer 's kid ?	henry_hastings_5th_earl_of_huntingdon	alice_spencer#children#lady_elizabeth_stanley#spouse#henry_hastings_5th_earl_of_huntingdon#<end>#henry_hastings_5th_earl_of_huntingdon
what is the yongzheng_emperor 's child 's ethnicity ?	manchu	yongzheng_emperor#children#qianlong_emperor#ethnicity#manchu#<end>#manchu
the daughter of parent of elisabeth_of_austria_1526 ?	maria_of_habsburg_archduchess_of_austria	elisabeth_of_austria_1526#parents#ferdinand_i_holy_roman_emperor#children#maria_of_habsburg_archduchess_of_austria#<end>#maria_of_habsburg_archduchess_of_austria
is william_cavendish_bentinck_7th_duke_of_portland 's kid a man or a woman ?	female	william_cavendish_bentinck_7th_duke_of_portland#children#lady_anne_cavendish_bentinck#gender#female#<end>#female
the occupation of henry_iv_of_england 's heir ?	monarch	henry_iv_of_england#children#henry_v_of_england#profession#monarch#<end>#monarch
what does william_talbot 's daughter do for a living?	lawyer	william_talbot#children#charles_talbot_1st_baron_talbot_of_hensol#profession#lawyer#<end>#lawyer
what is the father of daughter of louis_iv_of_france ?	gerberga_of_saxony	louis_iv_of_france#children#lothair_of_france#parents#gerberga_of_saxony#<end>#gerberga_of_saxony
samuel_gridley_howe 's husband 's religious belief ?	unitarian_universalism	samuel_gridley_howe#spouse#julia_ward_howe#religion#unitarian_universalism#<end>#unitarian_universalism
how albert_of_saxe-coburg_and_gotha 's daughter died ?	infectious_disease	albert_of_saxe-coburg_and_gotha#children#alice_of_the_united_kingdom#cause_of_death#infectious_disease#<end>#infectious_disease
what is the nationality of dad of lynn_redgrave ?	united_kingdom	lynn_redgrave#parents#michael_redgrave#nationality#united_kingdom#<end>#united_kingdom
the address of parents of skip_caray ?	st_louis_missouri	skip_caray#parents#harry_caray#location#st_louis_missouri#<end>#st_louis_missouri
where does virginia_heinlein 's spouse work ?	united_states_naval_academy	virginia_heinlein#spouse#robert_a_heinlein#institution#united_states_naval_academy#<end>#united_states_naval_academy
the sex of offspring of adelaide_of_lowenstein_wertheim_rosenberg ?	female	adelaide_of_lowenstein_wertheim_rosenberg#children#maria_josepha_of_portugal#gender#female#<end>#female
the address of children of johann_conrad_weiser_sr ?	baden-wurttemberg	johann_conrad_weiser_sr#children#conrad_weiser#location#baden-wurttemberg#<end>#baden-wurttemberg
domenico_tintoretto 's mom 's type of religion ?	catholicism	domenico_tintoretto#parents#tintoretto#religion#catholicism#<end>#catholicism
what is the vratislaus_ii_of_bohemia 's mom 's nationality ?	germany	vratislaus_ii_of_bohemia#parents#judith_of_schweinfurt#nationality#germany#<end>#germany
what is the harry_hay 's other half 's sex ?	male	harry_hay#spouse#john_burnside_1916#gender#male#<end>#male
the dad of children of charles_spurgeon ?	charles_spurgeon	charles_spurgeon#children#thomas_spurgeon#parents#charles_spurgeon#<end>#charles_spurgeon
hortense_de_beauharnais 's daughter 's gender ?	male	hortense_de_beauharnais#children#napoleon_iii_of_france#gender#male#<end>#male
the kid of qianlong_emperor 's parents ?	qianlong_emperor	qianlong_emperor#parents#yongzheng_emperor#children#qianlong_emperor#<end>#qianlong_emperor
what is the gender of kid of claudine_rhedey_von_kis_rhede ?	male	claudine_rhedey_von_kis_rhede#children#francis_duke_of_teck#gender#male#<end>#male
who is the children of francis_iv_duke_of_modena 's daughter ?	carlos_duke_of_madrid	francis_iv_duke_of_modena#children#archduchess_maria_beatrix_of_austria_este#children#carlos_duke_of_madrid#<end>#carlos_duke_of_madrid
what is the job of kid of james_henry_hackett ?	actor	james_henry_hackett#children#james_keteltas_hackett#profession#actor#<end>#actor
who is the granddaughter of marguerite_of_france ?	elizabeth_of_rhuddlan	marguerite_of_france#children#eleanor_of_castile#children#elizabeth_of_rhuddlan#<end>#elizabeth_of_rhuddlan
the sex of juba_ii 's other half ?	female	juba_ii#spouse#cleopatra_selene#gender#female#<end>#female
what is the spouse of henry_i_duke_of_guise 's mom ?	jacques_de_savoie_2nd_duc_de_nemours	henry_i_duke_of_guise#parents#anna_deste#spouse#jacques_de_savoie_2nd_duc_de_nemours#<end>#jacques_de_savoie_2nd_duc_de_nemours
what is the place of birth of mom of anna_e_roosevelt ?	new_york	anna_e_roosevelt#parents#eleanor_roosevelt#place_of_birth#new_york#<end>#new_york
