the place of death of augustus_ii_the_strong 's offspring ?	avignon	augustus_ii_the_strong#children#anna_orzelska#place_of_death#avignon#<end>#avignon
what is the nationality of parents of claudius ?	roman_empire	claudius#parents#nero_claudius_drusus#nationality#roman_empire#<end>#roman_empire
is carlos_thompson 's spouse a man or a woman ?	female	carlos_thompson#spouse#lilli_palmer#gender#female#<end>#female
the job of son of john_b_kelly_sr ?	fashion_model	john_b_kelly_sr#children#grace_kelly#profession#fashion_model#<end>#fashion_model
what is the gender of kid of alexandre_vicomte_de_beauharnais ?	female	alexandre_vicomte_de_beauharnais#children#hortense_de_beauharnais#gender#female#<end>#female
the gender of father of mikolaj_vii_radziwill ?	female	mikolaj_vii_radziwill#parents#katarzyna_tomicka#gender#female#<end>#female
who is the couple of alice_spencer 's kid ?	henry_hastings_5th_earl_of_huntingdon	alice_spencer#children#lady_elizabeth_stanley#spouse#henry_hastings_5th_earl_of_huntingdon#<end>#henry_hastings_5th_earl_of_huntingdon
what is the yongzheng_emperor 's child 's ethnicity ?	manchu	yongzheng_emperor#children#qianlong_emperor#ethnicity#manchu#<end>#manchu
is william_cavendish_bentinck_7th_duke_of_portland 's kid a man or a woman ?	female	william_cavendish_bentinck_7th_duke_of_portland#children#lady_anne_cavendish_bentinck#gender#female#<end>#female
the occupation of henry_iv_of_england 's heir ?	monarch	henry_iv_of_england#children#henry_v_of_england#profession#monarch#<end>#monarch
samuel_gridley_howe 's husband 's religious belief ?	unitarian_universalism	samuel_gridley_howe#spouse#julia_ward_howe#religion#unitarian_universalism#<end>#unitarian_universalism
what is the harry_hay 's other half 's sex ?	male	harry_hay#spouse#john_burnside_1916#gender#male#<end>#male
the dad of children of charles_spurgeon ?	charles_spurgeon	charles_spurgeon#children#thomas_spurgeon#parents#charles_spurgeon#<end>#charles_spurgeon
hortense_de_beauharnais 's daughter 's gender ?	male	hortense_de_beauharnais#children#napoleon_iii_of_france#gender#male#<end>#male
the kid of qianlong_emperor 's parents ?	qianlong_emperor	qianlong_emperor#parents#yongzheng_emperor#children#qianlong_emperor#<end>#qianlong_emperor
what is the gender of kid of claudine_rhedey_von_kis_rhede ?	male	claudine_rhedey_von_kis_rhede#children#francis_duke_of_teck#gender#male#<end>#male
who is the children of francis_iv_duke_of_modena 's daughter ?	carlos_duke_of_madrid	francis_iv_duke_of_modena#children#archduchess_maria_beatrix_of_austria_este#children#carlos_duke_of_madrid#<end>#carlos_duke_of_madrid
the sex of juba_ii 's other half ?	female	juba_ii#spouse#cleopatra_selene#gender#female#<end>#female
what is the william_starling_burgess 's son 's mother ?	william_starling_burgess	william_starling_burgess#children#tasha_tudor#parents#william_starling_burgess#<end>#william_starling_burgess
what is the location of husband of mary_josephine_hannon_fitzgerald ?	boston_massachusetts	mary_josephine_hannon_fitzgerald#spouse#john_f_fitzgerald#location#boston_massachusetts#<end>#boston_massachusetts
the gender of dad of boleslaw_ii_of_poland ?	male	boleslaw_ii_of_poland#parents#casimir_i_of_poland#gender#male#<end>#male
what is the cause of death of srinagarindra 's children ?	firearm	srinagarindra#children#ananda_mahidol#cause_of_death#firearm#<end>#firearm
what is the franz_joseph_i_of_austria 's wife 's cause of death ?	assassination	franz_joseph_i_of_austria#spouse#elisabeth_of_bavaria#cause_of_death#assassination#<end>#assassination
the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
carlos_thompson 's wife 's ethnicity ?	germans	carlos_thompson#spouse#lilli_palmer#ethnicity#germans#<end>#germans
what is the nationality of john_spencer_churchill_7th_duke_of_marlborough 's daughter ?	united_kingdom	john_spencer_churchill_7th_duke_of_marlborough#children#lord_randolph_churchill#nationality#united_kingdom#<end>#united_kingdom
mary_de_bohun 's kid 's nationality ?	england	mary_de_bohun#children#philippa_of_england#nationality#england#<end>#england
sherman_hoar 's offspring 's sex ?	male	sherman_hoar#children#roger_sherman_hoar#gender#male#<end>#male
what is the aelia_eudoxia 's husband 's spouse ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
the sex of offspring of maria_fyodorovna_of_russia ?	female	maria_fyodorovna_of_russia#children#alexandra_pavlovna_of_russia#gender#female#<end>#female
svante_nilsson 's child 's nation ?	sweden	svante_nilsson#children#sten_sture_the_younger#nationality#sweden#<end>#sweden
what is the religious belief of george_darwin 's father ?	agnosticism	george_darwin#parents#charles_darwin#religion#agnosticism#<end>#agnosticism
the gender of heir of henry_ii_of_france ?	male	henry_ii_of_france#children#charles_ix_of_france#gender#male#<end>#male
what is the nation of marie-anne_pierrette_paulze 's other half ?	germany	marie-anne_pierrette_paulze#spouse#benjamin_thompson#nationality#germany#<end>#germany
what is the name of the spouse of aelia_eudoxia 's husband ?	aelia_eudoxia	aelia_eudoxia#spouse#arcadius#spouse#aelia_eudoxia#<end>#aelia_eudoxia
what is the sex of darling of samuel_gridley_howe ?	male	samuel_gridley_howe#spouse#julia_ward_howe#gender#male#<end>#male
what gender is martha_bulloch 's husband  ?	male	martha_bulloch#spouse#theodore_roosevelt_sr#gender#male#<end>#male
archduchess_maria_beatrix_of_austria_este 's offspring 's place of death ?	varese	archduchess_maria_beatrix_of_austria_este#children#carlos_duke_of_madrid#place_of_death#varese#<end>#varese
the gender of darling of franz_joseph_i_of_austria ?	female	franz_joseph_i_of_austria#spouse#elisabeth_of_bavaria#gender#female#<end>#female
what is the son of alexandre_vicomte_de_beauharnais 's kid ?	napoleon_iii_of_france	alexandre_vicomte_de_beauharnais#children#hortense_de_beauharnais#children#napoleon_iii_of_france#<end>#napoleon_iii_of_france
which organization does john_b_kelly_sr 's son work for ?	american_academy_of_dramatic_arts	john_b_kelly_sr#children#grace_kelly#institution#american_academy_of_dramatic_arts#<end>#american_academy_of_dramatic_arts
sarah_lennox_duchess_of_richmond 's offspring 's nation ?	united_kingdom	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#nationality#united_kingdom#<end>#united_kingdom
what is the couple of alice_spencer 's kid ?	henry_hastings_5th_earl_of_huntingdon	alice_spencer#children#lady_elizabeth_stanley#spouse#henry_hastings_5th_earl_of_huntingdon#<end>#henry_hastings_5th_earl_of_huntingdon
the parent of anna_of_holstein-gottorp 's son ?	enno_iii_count_of_ostfriesland	anna_of_holstein-gottorp#children#rudolf_christian_count_of_ostfriesland#parents#enno_iii_count_of_ostfriesland#<end>#enno_iii_count_of_ostfriesland
alfonso_iv_of_leon 's parents 's gender ?	male	alfonso_iv_of_leon#parents#ordono_ii_of_leon#gender#male#<end>#male
what is the gender of kid of sarah_lennox_duchess_of_richmond ?	male	sarah_lennox_duchess_of_richmond#children#charles_lennox_3rd_duke_of_richmond#gender#male#<end>#male
what is john_hays_hammond 's kid working on ?	inventor	john_hays_hammond#children#john_hays_hammond_jr#profession#inventor#<end>#inventor
pedro_ii_of_brazil 's heir 's cause of death ?	yellow_fever	pedro_ii_of_brazil#children#afonso_prince_imperial_of_brazil#cause_of_death#yellow_fever#<end>#yellow_fever
what is the frederick_iii_german_emperor 's offspring 's gender ?	female	frederick_iii_german_emperor#children#princess_charlotte_of_prussia#gender#female#<end>#female
juba_ii 's wife 's parents ?	cleopatra_vii_of_egypt	juba_ii#spouse#cleopatra_selene#parents#cleopatra_vii_of_egypt#<end>#cleopatra_vii_of_egypt
what type of religion is mariana_victoria_of_spain 's other half ?	catholicism	mariana_victoria_of_spain#spouse#joseph_i_of_portugal#religion#catholicism#<end>#catholicism
who is the parent of anna_of_holstein-gottorp 's son ?	enno_iii_count_of_ostfriesland	anna_of_holstein-gottorp#children#rudolf_christian_count_of_ostfriesland#parents#enno_iii_count_of_ostfriesland#<end>#enno_iii_count_of_ostfriesland
yongzheng_emperor 's child 's father ?	yongzheng_emperor	yongzheng_emperor#children#qianlong_emperor#parents#yongzheng_emperor#<end>#yongzheng_emperor
